#Datos para dt = 0.05. Método RK4
t			v
15.400	12.28704
15.450	12.29937
15.500	12.31166
15.550	12.32390
15.600	12.33610
15.650	12.34825
15.700	12.36036
15.750	12.37243
15.800	12.38445
15.850	12.39642
15.900	12.40836
15.950	12.42025
16.000	12.43209
16.050	12.44390
16.100	12.45566
16.150	12.46737
16.200	12.47905
16.250	12.49068
16.300	12.50227
16.350	12.51382
16.400	12.52533
16.450	12.53679
16.500	12.54822
16.550	12.55960
16.600	12.57094
16.650	12.58224
16.700	12.59350
16.750	12.60472
16.800	12.61590
16.850	12.62703
16.900	12.63813
16.950	12.64919
17.000	12.66021
17.050	12.67118
17.100	12.68212
17.150	12.69302
17.200	12.70388
17.250	12.71470
17.300	12.72548
17.350	12.73623
17.400	12.74693
17.450	12.75760
17.500	12.76822
17.550	12.77881
17.600	12.78936
17.650	12.79988
17.700	12.81035
17.750	12.82079
17.800	12.83119
17.850	12.84156
17.900	12.85188
17.950	12.86217
18.000	12.87243
18.050	12.88264
18.100	12.89282
18.150	12.90296
18.200	12.91307
18.250	12.92314
18.300	12.93318
18.350	12.94318
18.400	12.95314
18.450	12.96307
18.500	12.97296
18.550	12.98282
18.600	12.99264
18.650	13.00243
18.700	13.01218
18.750	13.02190
18.800	13.03158
18.850	13.04123
18.900	13.05084
18.950	13.06042
19.000	13.06997
19.050	13.07948
19.100	13.08896
19.150	13.09840
19.200	13.10781
19.250	13.11719
19.300	13.12654
19.350	13.13585
19.400	13.14513
19.450	13.15437
19.500	13.16358
19.550	13.17276
19.600	13.18191
19.650	13.19103
19.700	13.20011
19.750	13.20916
19.800	13.21818
19.850	13.22716
19.900	13.23612
19.950	13.24504
20.000	13.25393
20.050	13.26279
20.100	13.27162
20.150	13.28042
20.200	13.28919
20.250	13.29792
20.300	13.30663
20.350	13.31530
20.400	13.32395
20.450	13.33256
20.500	13.34114
20.550	13.34970
20.600	13.35822
20.650	13.36671
20.700	13.37517
20.750	13.38361
20.800	13.39201
20.850	13.40038
20.900	13.40873
20.950	13.41704
21.000	13.42533
21.050	13.43358
21.100	13.44181
21.150	13.45001
21.200	13.45818
21.250	13.46632
21.300	13.47443
21.350	13.48251
21.400	13.49057
21.450	13.49859
21.500	13.50659
21.550	13.51456
21.600	13.52251
21.650	13.53042
21.700	13.53831
21.750	13.54617
21.800	13.55400
21.850	13.56180
21.900	13.56958
21.950	13.57733
22.000	13.58505
22.050	13.59275
22.100	13.60042
22.150	13.60806
22.200	13.61567
22.250	13.62326
22.300	13.63082
22.350	13.63836
22.400	13.64587
22.450	13.65335
22.500	13.66081
22.550	13.66824
22.600	13.67564
22.650	13.68302
22.700	13.69037
22.750	13.69770
22.800	13.70500
22.850	13.71228
22.900	13.71953
22.950	13.72675
23.000	13.73395
23.050	13.74113
23.100	13.74828
23.150	13.75540
23.200	13.76250
23.250	13.76958
23.300	13.77663
23.350	13.78366
23.400	13.79066
23.450	13.79763
23.500	13.80459
23.550	13.81151
23.600	13.81842
23.650	13.82530
23.700	13.83216
23.750	13.83899
23.800	13.84580
