# MÉTODO SIMPSON 3/8
n	 Integral	    Error absoluto
3    0.16140992    0.00080713
6    0.16065611    0.00005332
9    0.16061344    0.00001064
12    0.16060617    0.00000338
15    0.16060418    0.00000139
18    0.16060346    0.00000067
21    0.16060316    0.00000036
24    0.16060301    0.00000021
27    0.16060293    0.00000013
30    0.16060288    0.00000009
