# Resultados Derivación Numérica
Tiempo	 Posición	 Velocidad	 Error_velocidad	 Aceleración	 Error_aceleración 
1.58400000	 0.83358000	 1.02541667	 0.00002516	 0.59895833	 0.03281846
1.60800000	 0.85836000	 1.03979167	 0.00002809	 0.59895833	 0.03191429
1.63200000	 0.88349000	 1.05416667	 0.00011568	 0.59461806	 0.03535386
1.65600000	 0.90896000	 1.06833333	 0.00002918	 0.59027778	 0.03879687
1.68000000	 0.93477000	 1.08250000	 0.00002316	 0.59027778	 0.03790302
1.70400000	 0.96092000	 1.09666667	 0.00004141	 0.59027778	 0.03701258
1.72800000	 0.98741000	 1.11083333	 0.00002565	 0.59027778	 0.03612554
1.75200000	 1.01424000	 1.12500000	 0.00002402	 0.58593750	 0.03958215
1.77600000	 1.04141000	 1.13895833	 0.00010079	 0.58593750	 0.03870184
1.80000000	 1.06891000	 1.15312500	 0.00001648	 0.59027778	 0.03348460
1.82400000	 1.09676000	 1.16729167	 0.00016743	 0.58159722	 0.04129152
1.84800000	 1.12494000	 1.18104167	 0.00006468	 0.57725694	 0.04476147
1.87200000	 1.15345000	 1.19500000	 0.00005495	 0.58159722	 0.03955417
1.89600000	 1.18230000	 1.20895833	 0.00001178	 0.58159722	 0.03869043
1.92000000	 1.21148000	 1.22291667	 0.00006475	 0.57725694	 0.04217023
1.94400000	 1.24100000	 1.23666667	 0.00003378	 0.57291667	 0.04565329
1.96800000	 1.27084000	 1.25041667	 0.00009912	 0.57725694	 0.04045903
1.99200000	 1.30102000	 1.26437500	 0.00007700	 0.57725694	 0.03960826
2.01600000	 1.33153000	 1.27812500	 0.00007782	 0.56857639	 0.04744126
2.04000000	 1.36237000	 1.29166667	 0.00009674	 0.56857639	 0.04659690
2.06400000	 1.39353000	 1.30541667	 0.00003008	 0.57291667	 0.04141543
2.08800000	 1.42503000	 1.31916667	 0.00006938	 0.56857639	 0.04491769
2.11200000	 1.45685000	 1.33270833	 0.00000677	 0.56423611	 0.04842309
2.13600000	 1.48900000	 1.34625000	 0.00005028	 0.56423611	 0.04759134
2.16000000	 1.52147000	 1.35979167	 0.00006122	 0.56423611	 0.04676272
2.18400000	 1.55427000	 1.37333333	 0.00003968	 0.56423611	 0.04593720
2.20800000	 1.58739000	 1.38687500	 0.00001428	 0.56423611	 0.04511477
2.23200000	 1.62084000	 1.40041667	 0.00010056	 0.55989583	 0.04863570
2.25600000	 1.65461000	 1.41375000	 0.00001077	 0.55555556	 0.05215968
2.28000000	 1.68870000	 1.42708333	 0.00004685	 0.55555556	 0.05134644
2.30400000	 1.72311000	 1.44041667	 0.00007237	 0.55555556	 0.05053623
2.32800000	 1.75784000	 1.45375000	 0.00006586	 0.55555556	 0.04972904
2.35200000	 1.79289000	 1.46708333	 0.00002741	 0.55555556	 0.04892485
2.37600000	 1.82826000	 1.48041667	 0.00004291	 0.55555556	 0.04812366
2.40000000	 1.86395000	 1.49375000	 0.00014503	 0.55121528	 0.05166573
2.42400000	 1.89996000	 1.50687500	 0.00007053	 0.54253472	 0.05955103
2.44800000	 1.93628000	 1.51979167	 0.00018067	 0.54687500	 0.05441846
2.47200000	 1.97291000	 1.53312500	 0.00001637	 0.55121528	 0.04928882
2.49600000	 2.00987000	 1.54625000	 0.00003656	 0.54253472	 0.05718295
2.52000000	 2.04713000	 1.55916667	 0.00012017	 0.54253472	 0.05639942
2.54400000	 2.08471000	 1.57229167	 0.00003722	 0.54687500	 0.05127852
2.56800000	 2.12260000	 1.58541667	 0.00007699	 0.54253472	 0.05484106
2.59200000	 2.16081000	 1.59833333	 0.00001405	 0.53819444	 0.05840647
2.61600000	 2.19932000	 1.61125000	 0.00001777	 0.53819444	 0.05763446
2.64000000	 2.23815000	 1.62416667	 0.00001856	 0.53819444	 0.05686530
2.66400000	 2.27728000	 1.63708333	 0.00001163	 0.53819444	 0.05609897
2.68800000	 2.31673000	 1.65000000	 0.00007270	 0.53385417	 0.05967574
2.71200000	 2.35648000	 1.66270833	 0.00004375	 0.53385417	 0.05891504
2.73600000	 2.39654000	 1.67562500	 0.00007888	 0.53385417	 0.05815713
2.76000000	 2.43691000	 1.68833333	 0.00002385	 0.52517361	 0.06608257
2.78400000	 2.47758000	 1.70083333	 0.00020892	 0.52951389	 0.06098993
2.80800000	 2.51855000	 1.71375000	 0.00000549	 0.53385417	 0.05590006
2.83200000	 2.55984000	 1.72645833	 0.00004203	 0.52517361	 0.06383376
2.85600000	 2.60142000	 1.73895833	 0.00009940	 0.52517361	 0.06308964
2.88000000	 2.64331000	 1.75166667	 0.00000219	 0.52951389	 0.05800797
2.90400000	 2.68550000	 1.76437500	 0.00012525	 0.52517361	 0.06160956
2.92800000	 2.72800000	 1.77687500	 0.00007452	 0.51649306	 0.06955412
2.95200000	 2.77079000	 1.78916667	 0.00015446	 0.52083333	 0.06448053
2.97600000	 2.81388000	 1.80187500	 0.00006324	 0.52517361	 0.05940961
3.00000000	 2.85728000	 1.81437500	 0.00010254	 0.51649306	 0.06736219
3.02400000	 2.90097000	 1.82666667	 0.00003661	 0.51215278	 0.07097714
3.04800000	 2.94496000	 1.83895833	 0.00014597	 0.51649306	 0.06591417
3.07200000	 2.98924000	 1.85145833	 0.00001727	 0.52083333	 0.06085383
3.09600000	 3.03383000	 1.86395833	 0.00014109	 0.51215278	 0.06881693
3.12000000	 3.07871000	 1.87604167	 0.00008764	 0.50781250	 0.07244235
3.14400000	 3.12388000	 1.88833333	 0.00007851	 0.51215278	 0.06738981
3.16800000	 3.16935000	 1.90062500	 0.00003995	 0.51215278	 0.06668013
3.19200000	 3.21511000	 1.91291667	 0.00002799	 0.51215278	 0.06597301
